mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,instance_file,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-fixed,opt,eil51,51,4,8,30,240,21040,7,1,0.15,427,0.234742,4.002,-1,16832,16824,16832,0,E6,eil51,1,4.002,4.002,4.002,0.0,427.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,21450,8,1,0.15,426,0,4.002,-1,17160,17153,17160,0,E6,eil51,1,4.002,4.002,4.002,0.0,426.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,21660,9,1,0.15,426,0,4.001,-1,17328,17320,17328,0,E6,eil51,1,4.001,4.001,4.001,0.0,426.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,21480,10,1,0.15,426,0,4,-1,17184,17177,17184,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,21830,11,1,0.15,426,0,4,-1,17464,17459,17464,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,21450,12,1,0.15,427,0.234742,4.001,-1,17160,17156,17160,0,E6,eil51,1,4.001,4.001,4.001,0.0,427.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,19710,1,1,0.15,426,0,4.001,-1,15759,15759,15768,0,E6,eil51,1,4.001,4.001,4.001,0.0,426.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,20540,2,1,0.15,426,0,4.001,-1,16422,16422,16432,0,E6,eil51,1,4.001,4.001,4.001,0.0,426.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,20390,3,1,0.15,426,0,4.001,-1,16300,16300,16312,0,E6,eil51,1,4.001,4.001,4.001,0.0,426.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,19550,4,1,0.15,426,0,4.001,-1,15629,15629,15640,0,E6,eil51,1,4.001,4.001,4.001,0.0,426.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,19620,5,1,0.15,427,0.234742,4,-1,15682,15682,15696,0,E6,eil51,1,4.0,4.0,4.0,0.0,427.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,19540,6,1,0.15,426,0,4.001,-1,15620,15620,15632,0,E6,eil51,1,4.001,4.001,4.001,0.0,426.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,19860,7,1,0.15,427,0.234742,4.001,-1,15875,15875,15888,0,E6,eil51,1,4.001,4.001,4.001,0.0,427.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,19750,8,1,0.15,427,0.234742,4.001,-1,15788,15788,15800,0,E6,eil51,1,4.001,4.001,4.001,0.0,427.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,20200,9,1,0.15,426,0,4,-1,16149,16149,16160,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,20510,10,1,0.15,426,0,4.001,-1,16398,16398,16408,0,E6,eil51,1,4.001,4.001,4.001,0.0,426.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,20730,11,1,0.15,427,0.234742,4.001,-1,16574,16574,16584,0,E6,eil51,1,4.001,4.001,4.001,0.0,427.0,0.0
island-dtam,opt,eil51,51,4,8,30,240,20850,12,1,0.15,427,0.234742,4,-1,16672,16672,16680,0,E6,eil51,1,4.0,4.0,4.0,0.0,427.0,0.0
serial,opt,kroA100,100,1,1,240,240,3118,1,1,0.15,21282,0,4,-1,0,0,0,0,E6,kroA100,1,4.0,4.0,4.0,0.0,21282.0,0.0
serial,opt,kroA100,100,1,1,240,240,3240,2,1,0.15,21282,0,4,-1,0,0,0,0,E6,kroA100,1,4.0,4.0,4.0,0.0,21282.0,0.0
serial,opt,kroA100,100,1,1,240,240,3141,3,1,0.15,21282,0,4,-1,0,0,0,0,E6,kroA100,1,4.0,4.0,4.0,0.0,21282.0,0.0
serial,opt,kroA100,100,1,1,240,240,3282,4,1,0.15,21282,0,4.001,-1,0,0,0,0,E6,kroA100,1,4.001,4.001,4.001,0.0,21282.0,0.0
serial,opt,kroA100,100,1,1,240,240,3321,5,1,0.15,21282,0,4,-1,0,0,0,0,E6,kroA100,1,4.0,4.0,4.0,0.0,21282.0,0.0
